id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2026-01-21 16:50:21,"{""short_code"":""dU4dNf"",""original_url"":""https://opswise.net/proud/network/1""}"
2,2,179,created,2025-10-15 22:13:47,"{""short_code"":""smzKZ8"",""original_url"":""https://seeded.app/dawn/canyon/2""}"
3,3,243,created,2025-07-08 08:16:32,"{""short_code"":""VcJfJv"",""original_url"":""https://acme.dev/forest/trail/3""}"
4,4,175,created,2025-12-25 21:03:25,"{""short_code"":""hSdWFz"",""original_url"":""https://relay.cloud/cobalt/pioneer/4""}"
5,5,17,created,2025-01-07 15:19:07,"{""short_code"":""e3X32L"",""original_url"":""https://relay.cloud/quiet/quartz/5""}"
6,6,346,created,2025-09-20 18:07:22,"{""short_code"":""2AOI29"",""original_url"":""https://hackstack.io/calm/kernel/6""}"
7,7,259,created,2025-05-30 12:18:38,"{""short_code"":""vXoXtL"",""original_url"":""https://relay.cloud/harbor/kernel/7""}"
8,8,318,created,2025-09-07 02:21:47,"{""short_code"":""sPqGFc"",""original_url"":""https://hackstack.io/forest/lagoon/8""}"
9,9,297,created,2025-03-14 07:48:52,"{""short_code"":""QYF60z"",""original_url"":""https://relay.cloud/warm/uplink/9""}"
10,10,186,created,2026-02-14 09:05:31,"{""short_code"":""IYsBsi"",""original_url"":""https://opswise.net/dawn/window/10""}"
11,11,129,created,2025-07-29 12:30:41,"{""short_code"":""7xDchW"",""original_url"":""https://example.com/ember/pioneer/11""}"
12,12,387,created,2025-06-02 02:11:27,"{""short_code"":""ouwR9o"",""original_url"":""https://acme.dev/silver/zenith/12""}"
13,13,350,created,2026-01-30 01:20:52,"{""short_code"":""astcg3"",""original_url"":""https://hackstack.io/opal/signal/13""}"
14,14,220,created,2025-02-21 19:54:56,"{""short_code"":""INkeCD"",""original_url"":""https://acme.dev/quiet/journey/14""}"
15,15,337,created,2025-07-01 11:16:39,"{""short_code"":""ulWnU5"",""original_url"":""https://seeded.app/mellow/signal/15""}"
16,16,121,created,2025-03-21 09:56:51,"{""short_code"":""thfGc4"",""original_url"":""https://acme.dev/warm/canyon/16""}"
17,17,382,created,2025-09-24 09:03:45,"{""short_code"":""YAVyBA"",""original_url"":""https://acme.dev/lively/anchor/17""}"
18,18,287,created,2026-01-05 03:55:08,"{""short_code"":""33wxOq"",""original_url"":""https://acme.dev/silver/valley/18""}"
19,19,172,created,2025-01-08 22:34:39,"{""short_code"":""KaIriy"",""original_url"":""https://relay.cloud/young/pioneer/19""}"
20,20,293,created,2025-07-07 04:01:26,"{""short_code"":""QAsCDa"",""original_url"":""https://seeded.app/warm/network/20""}"
21,21,357,created,2025-05-12 15:52:00,"{""short_code"":""jETRb7"",""original_url"":""https://relay.cloud/ember/signal/21""}"
22,22,362,created,2025-05-11 17:21:03,"{""short_code"":""PzLgYk"",""original_url"":""https://seeded.app/jade/window/22""}"
23,23,17,created,2025-01-12 00:30:42,"{""short_code"":""vNikUa"",""original_url"":""https://relay.cloud/lively/lagoon/23""}"
24,24,158,created,2025-02-07 10:37:28,"{""short_code"":""MnYDft"",""original_url"":""https://opswise.net/harbor/canyon/24""}"
25,25,204,created,2025-09-30 07:59:26,"{""short_code"":""4hqRNR"",""original_url"":""https://relay.cloud/mellow/orbit/25""}"
26,26,43,created,2025-06-28 08:52:22,"{""short_code"":""Rpzkwp"",""original_url"":""https://acme.dev/mellow/lagoon/26""}"
27,27,35,created,2025-09-08 03:00:47,"{""short_code"":""v22qF2"",""original_url"":""https://acme.dev/jade/garden/27""}"
28,28,97,created,2025-04-28 20:41:45,"{""short_code"":""PA5PGC"",""original_url"":""https://example.com/forest/zenith/28""}"
29,29,369,created,2025-02-23 05:29:10,"{""short_code"":""fTHIWS"",""original_url"":""https://acme.dev/cobalt/river/29""}"
30,30,245,created,2025-01-18 02:04:57,"{""short_code"":""ytkkTO"",""original_url"":""https://seeded.app/proud/network/30""}"
31,31,148,created,2025-01-21 07:20:36,"{""short_code"":""SEVvB4"",""original_url"":""https://example.com/ivory/engine/31""}"
32,32,304,created,2025-09-26 01:15:48,"{""short_code"":""GBDRv6"",""original_url"":""https://opswise.net/ember/uplink/32""}"
33,33,102,created,2025-09-24 13:04:35,"{""short_code"":""TI4kOx"",""original_url"":""https://seeded.app/urban/delta/33""}"
34,34,354,created,2025-10-29 21:18:17,"{""short_code"":""ZU6GJG"",""original_url"":""https://opswise.net/gold/garden/34""}"
35,35,194,created,2026-02-14 11:54:54,"{""short_code"":""Ydv4sQ"",""original_url"":""https://relay.cloud/lively/window/35""}"
36,36,359,created,2025-01-29 19:59:56,"{""short_code"":""INoXzf"",""original_url"":""https://opswise.net/calm/island/36""}"
37,37,41,created,2025-04-06 15:11:29,"{""short_code"":""RC9F1i"",""original_url"":""https://opswise.net/brisk/pioneer/37""}"
38,38,282,created,2025-06-13 17:58:38,"{""short_code"":""KcaPip"",""original_url"":""https://opswise.net/dawn/trail/38""}"
39,39,205,created,2025-08-26 11:42:27,"{""short_code"":""7G9Tpg"",""original_url"":""https://seeded.app/urban/engine/39""}"
40,40,226,created,2025-11-23 15:49:53,"{""short_code"":""AyFr0f"",""original_url"":""https://hackstack.io/jade/anchor/40""}"
41,41,114,created,2025-05-02 08:47:10,"{""short_code"":""JcgrF1"",""original_url"":""https://opswise.net/dawn/delta/41""}"
42,42,267,created,2025-12-17 21:17:32,"{""short_code"":""OFbbSn"",""original_url"":""https://relay.cloud/ivory/orbit/42""}"
43,43,277,created,2025-05-04 00:43:38,"{""short_code"":""R6qKx1"",""original_url"":""https://example.com/tidy/valley/43""}"
44,44,114,created,2025-11-15 20:33:15,"{""short_code"":""vV9y9P"",""original_url"":""https://hackstack.io/brisk/harvest/44""}"
45,45,270,created,2025-08-02 15:44:04,"{""short_code"":""hin4mp"",""original_url"":""https://opswise.net/vivid/canyon/45""}"
46,46,123,created,2025-11-06 09:03:35,"{""short_code"":""wiJ6P9"",""original_url"":""https://hackstack.io/brisk/signal/46""}"
47,47,132,created,2025-06-22 23:01:07,"{""short_code"":""Y0SRao"",""original_url"":""https://acme.dev/dawn/canyon/47""}"
48,48,339,created,2025-09-29 15:13:47,"{""short_code"":""qHtNT4"",""original_url"":""https://opswise.net/amber/island/48""}"
49,49,102,created,2025-05-08 18:32:17,"{""short_code"":""bSLDkM"",""original_url"":""https://relay.cloud/forest/canyon/49""}"
50,50,126,created,2025-01-13 19:00:19,"{""short_code"":""AMOZ1F"",""original_url"":""https://example.com/amber/uplink/50""}"
51,51,93,created,2026-02-06 20:54:07,"{""short_code"":""zvKnbS"",""original_url"":""https://example.com/silver/window/51""}"
52,52,343,created,2025-05-28 15:36:15,"{""short_code"":""rOrCeR"",""original_url"":""https://opswise.net/ivory/journey/52""}"
53,53,257,created,2025-09-22 15:30:49,"{""short_code"":""vw263m"",""original_url"":""https://acme.dev/jade/signal/53""}"
54,54,187,created,2025-09-04 08:48:38,"{""short_code"":""4i1gzh"",""original_url"":""https://acme.dev/dawn/yard/54""}"
55,55,346,created,2025-11-08 10:20:40,"{""short_code"":""QntGZQ"",""original_url"":""https://acme.dev/dawn/pioneer/55""}"
56,56,233,created,2025-12-29 02:55:56,"{""short_code"":""QDXtIg"",""original_url"":""https://hackstack.io/opal/orbit/56""}"
57,57,229,created,2025-09-24 12:24:41,"{""short_code"":""43ZqrY"",""original_url"":""https://seeded.app/silver/garden/57""}"
